Name,team,FantasyPoints
Chase Hamm,arizona-state,0.0
Samuel Urban,arizona-state,0.0
Connor Hasley,arizona-state,0.0
Sam Court,arizona-state,0.0
Benjamin Kevan,arizona-state,0.0
Braxton Whitehead,arizona-state,0.0
Cruz Lucius,arizona-state,0.0
Brasen Boser,arizona-state,0.0
Tony Achille,arizona-state,0.0
Jacob Biron,army-west-point,0.0
Lukas McCloskey,army-west-point,0.0
Easton Zueger,army-west-point,0.0
Ben Ivey,army-west-point,0.0
Jack Ivey,army-west-point,0.0
Pierce Patterson,army-west-point,0.0
Liam Chapman,army-west-point,0.0
Vincent Salice,army-west-point,0.0
Nils Forselius,army-west-point,0.0
Dylan Wegner,army-west-point,0.0
Brock Jones,army-west-point,0.0
Sam Groebner,army-west-point,0.0
Jacob Ligi,army-west-point,0.0
Owen Nolan,army-west-point,0.0
Lucas Kanta,army-west-point,0.0
Kareem El-Bashir,army-west-point,0.0
Noah Alvarez,army-west-point,0.0
Jon Bell,army-west-point,0.0
Nik Hong,army-west-point,0.0
Sean Vlasich,army-west-point,0.0
Stephen Willey,army-west-point,0.0
Jude Brower,army-west-point,0.0
Billy Batten,army-west-point,0.0
Barron Woodring,army-west-point,0.0
Joey Dosan,army-west-point,0.0
Trevor Smith,army-west-point,0.0
Brent Keefer,army-west-point,0.0
Adam Marshall,army-west-point,0.0
JJ Cataldo,army-west-point,0.0
Gus Holt,army-west-point,0.0
Christian Manz,augustana,0.0
Landon Fandel,augustana,0.0
Maxwell Chakrabarti,augustana,0.0
Easton Young,augustana,0.0
Samo Meritähti,augustana,0.0
Ben Troumbly,augustana,0.0
Hayden Hennen,augustana,0.0
Joey DelGreco,augustana,0.0
Tyler Hennen,augustana,0.0
Hunter Bischoff,augustana,0.0
Will Howard,augustana,0.0
Will Svenddal,augustana,0.0
Jacob Jastrzebski,augustana,0.0
Quinn Rudrud,augustana,0.0
Carter Theissen,augustana,0.0
Colton Friesen,augustana,0.0
Callum Gau,augustana,0.0
Garett Drotts,augustana,0.0
Kolby Hay,augustana,0.0
Josh Kotai,augustana,0.0
Brett Meerman,augustana,0.0
Owen Bohn,augustana,0.0
Jeff Hutchinson,augustana,0.0
Nace Langus,augustana,0.0
Leonid Bulgakov,augustana,0.0
Cole Burtch,augustana,0.0
Owen Baumgartner,augustana,0.0
Max Hildebrand,bemidji-state,0.0
Max Vig,bemidji-state,0.0
Patrik Satosaari,bemidji-state,0.0
Hudson Thornton,bemidji-state,0.0
Mitch Wolfe,bemidji-state,0.0
Isa Parekh,bemidji-state,0.0
Vincent Labelle,bemidji-state,0.0
Jaksen Panzer,bemidji-state,0.0
Adam Flammang,bemidji-state,0.0
A.J. Macaulay,bemidji-state,0.0
Ben Vigneault,bemidji-state,0.0
Alexi Sylvestre,bemidji-state,0.0
Connor McClennon,bemidji-state,0.0
Oscar Karlsson,bemidji-state,0.0
Noah Quinn,bemidji-state,0.0
Max Namestnikov,bemidji-state,0.0
Vann Yuhas,bemidji-state,0.0
Kirklan Irey,bemidji-state,0.0
Vince Corcoran,bemidji-state,0.0
Oliver Peer,bemidji-state,0.0
Luke Roelofs,bemidji-state,0.0
Tory Lund,bemidji-state,0.0
Reilly Funk,bemidji-state,0.0
Jake McLean,bemidji-state,0.0
Kasper Magnussen,bemidji-state,0.0
Ryan Henderson,bemidji-state,0.0
Trent Wiemken,bemidji-state,0.0
Raythan Robbins,bemidji-state,0.0
Jack Erickson,bentley,0.0
David Helledy,bentley,0.0
Tobias Larsen,bentley,0.0
Dylan Cook,bentley,0.0
Seth Bernard-Docker,bentley,0.0
Alec Leonard,bentley,0.0
Oliver Salo,bentley,0.0
Jake Black,bentley,0.0
Jimmy Doyle,bentley,0.0
Ryan Mansfield,bentley,0.0
Owen Goodbrand,bentley,0.0
Peter Kramer,bentley,0.0
Pat Lawn,bentley,0.0
Oskar Bakkevig,bentley,0.0
Kellan Hjartarson,bentley,0.0
Stephen Castagna,bentley,0.0
Arlo Merritt,bentley,0.0
Michael Mesic,bentley,0.0
Jan Gaspar,bentley,0.0
Jack Dalton,bentley,0.0
Chase Davis,bentley,0.0
Marton Nemes,bentley,0.0
Colton Cameron,bentley,0.0
Garrett Horsager,bentley,0.0
Kolby Amici,bentley,0.0
Ryan Nause,bentley,0.0
Jack Farrell,bentley,0.0
Nicholas Bevilacqua,bentley,0.0
Easton Hesse,bentley,0.0
Ryan Upson,bentley,0.0
Lukas Swedin,bentley,0.0
Louka Cloutier,boston-college,0.0
Kristian Kostadinski,boston-college,0.0
Teddy Stiga,boston-college,0.0
Drew Fortescue,boston-college,0.0
Will Skahan,boston-college,0.0
Lukas Gustafsson,boston-college,0.0
James Hagens,boston-college,0.0
Michael Hagens,boston-college,0.0
Jake Sondreal,boston-college,0.0
Landan Resendes,boston-college,0.0
Oskar Jellvik,boston-college,0.0
Aram Minnetian,boston-college,0.0
Paul Davey,boston-college,0.0
Brady Berard,boston-college,0.0
Will Vote,boston-college,0.0
Will Traeger,boston-college,0.0
Andre Gasseau,boston-college,0.0
Luka Radivojevic,boston-college,0.0
Nolan Joyce,boston-college,0.0
Timmy Delay,boston-college,0.0
Dean Letourneau,boston-college,0.0
Jan Korec,boston-college,0.0
Alex Musielak,boston-college,0.0
Ryan Conmy,boston-college,0.0
Gavin Cornforth,boston-college,0.0
Will Moore,boston-college,0.0
Steven Luciano,boston-university,0.0
Gavin McCarthy,boston-university,0.0
Nick Roukounakis,boston-university,0.0
Brandon Svoboda,boston-university,0.0
Sacha Boisvert,boston-university,0.0
Jonathan Morello,boston-university,0.0
Jack Harvey,boston-university,0.0
Mick Frechette,boston-university,0.0
Carter Amico,boston-university,0.0
Conrad Fondrk,boston-university,0.0
Jay Feldberg,boston-university,0.0
Jack Murtagh,boston-university,0.0
Ryder Ritchie,boston-university,0.0
Aiden Celebrini,boston-university,0.0
Owen McLaughlin,boston-university,0.0
Ben Merrill,boston-university,0.0
John McNelis,boston-university,0.0
Kyle Kim,boston-university,0.0
Jack Perry,boston-university,0.0
Max Lacroix,boston-university,0.0
Cole Eiserman,boston-university,0.0
Kamil Bednarik,boston-university,0.0
Mikhail Yegorov,boston-university,0.0
Cole Hutson,boston-university,0.0
Malte Vass,boston-university,0.0
Sascha Boumedienne,boston-university,0.0
Charlie Trethewey,boston-university,0.0
Jacob Steinman,bowling-green,0.0
Ty Higgins,bowling-green,0.0
Ivan Korodiuk,bowling-green,0.0
Brian Lonergan,bowling-green,0.0
Gustav Stjernberg,bowling-green,0.0
Rihards Simanovičs,bowling-green,0.0
Jeremie Minville,bowling-green,0.0
Adam Zlnka,bowling-green,0.0
Noah Morneau,bowling-green,0.0
Jackson Niedermayer,bowling-green,0.0
Brett Pfoh,bowling-green,0.0
Dalton Norris,bowling-green,0.0
Maxwell Martin,bowling-green,0.0
Jake Sloan,bowling-green,0.0
Quinn Emerson,bowling-green,0.0
Connor Levis,bowling-green,0.0
Tanner Scott,bowling-green,0.0
Ben Doran,bowling-green,0.0
Tyler Hotson,bowling-green,0.0
Brayden Crampton,bowling-green,0.0
Jack Blake,bowling-green,0.0
Breck McKinley,bowling-green,0.0
Brandon Whynott,bowling-green,0.0
Jaden Grant,bowling-green,0.0
Brody Waters,bowling-green,0.0
Tyler Palmer,bowling-green,0.0
Cole Moore,bowling-green,0.0
Dominik Rymon,bowling-green,0.0
Freddie Halyk,brown,0.0
Tristan Zarsky,brown,0.0
Alex Pineau,brown,0.0
Nick Traggio,brown,0.0
Harry Meirowitz,brown,0.0
Charlie Gollob,brown,0.0
Ryan Shostak,brown,0.0
Ryan St. Louis,brown,0.0
Ashton Bynum,brown,0.0
Ivan Zadvernyuk,brown,0.0
Tyler Kopff,brown,0.0
Gary Pendy,brown,0.0
Ben Poitras,brown,0.0
Michael Salandra,brown,0.0
Brendan Tighe,brown,0.0
Owen Dyer,brown,0.0
Mike Cataldo,brown,0.0
Dean Bauchiero,brown,0.0
Matthew Brille,brown,0.0
Matthew Cataldo,brown,0.0
Ethan Mistry,brown,0.0
Matthew Desiderio,brown,0.0
Zackary Tonelli,brown,0.0
Leo Schwartz,brown,0.0
Jack Hewitt,brown,0.0
Tanner Hartman,brown,0.0
Andrew King,brown,0.0
Ryan Kazmouz,brown,0.0
Tyler Shea,brown,0.0
Brian Nicholas,brown,0.0
Brice Cooke,canisius,0.0
Robert Kincaid,canisius,0.0
Rhys Chiddenton,canisius,0.0
Walter Zacher,canisius,0.0
Kash Rasmussen,canisius,0.0
Jason Gallucci,canisius,0.0
Trey Funk,canisius,0.0
Cole Miller,canisius,0.0
Ryan Gillespie,canisius,0.0
Josh Phillips,canisius,0.0
Joe Messina,canisius,0.0
Nick Strom,canisius,0.0
Stefano Bottini,canisius,0.0
Carter Anderson,canisius,0.0
Ethan Robertson,canisius,0.0
Petter Wickström Stumer,canisius,0.0
Hunter Andrew,canisius,0.0
Chase Clark,canisius,0.0
Luke Marshall,canisius,0.0
Grant Porter,canisius,0.0
Christian MacDougall,canisius,0.0
Carter Patterson,canisius,0.0
Hunter Price,canisius,0.0
Kyan Haldenby,canisius,0.0
FJ Buteau,canisius,0.0
Jack Pascucci,canisius,0.0
Killian Kiecker-Olson,canisius,0.0
Alton McDermott,canisius,0.0
Oliver Tarr,canisius,0.0
David Elmy,canisius,0.0
Noah Houle,clarkson,0.0
Tristan Sarsland,clarkson,0.0
Erik Bargholtz,clarkson,0.0
Remi Gelinas,clarkson,0.0
Luka Sukovic,clarkson,0.0
Shawn O'Donnell,clarkson,0.0
Talon Sigurdson,clarkson,0.0
Ryan Bottrill,clarkson,0.0
Owen Van Steensel,clarkson,0.0
Jared Mangan,clarkson,0.0
Matthew Mayich,clarkson,0.0
William Bishop,clarkson,0.0
Tate Taylor,clarkson,0.0
Conyr Hellyer,clarkson,0.0
Luke Pakulak,clarkson,0.0
Shane Soderwall,clarkson,0.0
Keenan Rancier,clarkson,0.0
Mael St-denis,clarkson,0.0
Ty Brassington,clarkson,0.0
Jack Sparkes,clarkson,0.0
Nick Avakyan,clarkson,0.0
Bryce Sookro,clarkson,0.0
Jace Letourneau,clarkson,0.0
Adrian Misaljevic,clarkson,0.0
Mikael Huchette,clarkson,0.0
Justin Cote,clarkson,0.0
Andrew Takacs,colgate,0.0
Michael Neumeier,colgate,0.0
Jacob Napier,colgate,0.0
Bobby Metz,colgate,0.0
Simon Labelle,colgate,0.0
Isaiah Norlin,colgate,0.0
Simone Dadiè,colgate,0.0
Antonio Fernandez,colgate,0.0
Daniel Panetta,colgate,0.0
Max Nagel,colgate,0.0
Jack Brandt,colgate,0.0
Ryan Sullivan,colgate,0.0
Ryan Spinale,colgate,0.0
Easton Wainwright,colgate,0.0
Niko Rexine,colgate,0.0
Robby Newton,colgate,0.0
Owen Neuharth,colgate,0.0
Jake Schneider,colgate,0.0
Tyson Doucette,colgate,0.0
Josh Niedermayer,colgate,0.0
Brett Merner,colgate,0.0
Luke Malboeuf,colgate,0.0
Davide Patella,colgate,0.0
Nick Haas,colgate,0.0
Jack Olson,colgate,0.0
Reid Dyck,colgate,0.0
Beckham Dempsey,colorado-college,0.0
Seth Constance,colorado-college,0.0
Max Burkholder,colorado-college,0.0
Ryan Koering,colorado-college,0.0
Colton Roberts,colorado-college,0.0
Philippe Blais-Savoie,colorado-college,0.0
Brandon Lisowsky,colorado-college,0.0
Owen Beckner,colorado-college,0.0
Bret Link,colorado-college,0.0
Shane Kozlina,colorado-college,0.0
Merril Steenari,colorado-college,0.0
Connor Hvidston,colorado-college,0.0
Nick Baer,colorado-college,0.0
Tomas Mrsic,colorado-college,0.0
Fisher Scott,colorado-college,0.0
Mateo Mrsic,colorado-college,0.0
Gavin Lindberg,colorado-college,0.0
Ryan Alexander,colorado-college,0.0
Jordan Brisson,colorado-college,0.0
Klavs Veinbergs,colorado-college,0.0
Riley Stuart,colorado-college,0.0
Wilson Bjorck,colorado-college,0.0
Matteo Mann,colorado-college,0.0
Brayden Schuurman,colorado-college,0.0
Drew Montgomery,colorado-college,0.0
Jackson Unger,colorado-college,0.0
Kaidan Mbereko,colorado-college,0.0
Hudson Gorski,cornell,0.0
Jack O'Brien,cornell,0.0
Xavier Veilleux,cornell,0.0
Hoyt Stanley,cornell,0.0
George Fegaras,cornell,0.0
Luke McCrady,cornell,0.0
Luke Devlin,cornell,0.0
Charlie Major,cornell,0.0
Jake Kraft,cornell,0.0
Sean Donaldson,cornell,0.0
Caton Ryan,cornell,0.0
Marian Mosko,cornell,0.0
Ryan Walsh,cornell,0.0
Tyler Catalano,cornell,0.0
Michael Fisher,cornell,0.0
Aiden Long,cornell,0.0
Gio DiGiulian,cornell,0.0
Connor Arseneault,cornell,0.0
Reegan Hiscock,cornell,0.0
Chase Pirtle,cornell,0.0
Winter Wallace,cornell,0.0
Nicholas Wolfenberg,cornell,0.0
Donovan Hamilton,cornell,0.0
Luke Ashton,cornell,0.0
Nick DeSantis,cornell,0.0
Parker Murray,cornell,0.0
Alexis Cournoyer,cornell,0.0
Remington Keopple,cornell,0.0
Justin Katz,cornell,0.0
Jonathan Castagna,cornell,0.0
Erick Roest,cornell,0.0
Eric Charpentier,dartmouth,0.0
CJ Foley,dartmouth,0.0
Tucker McRae,dartmouth,0.0
Matt Fusco,dartmouth,0.0
Nikita Nikora,dartmouth,0.0
Austin Salani,dartmouth,0.0
Colin Grable,dartmouth,0.0
Hayden Stavroff,dartmouth,0.0
Nathan Morin,dartmouth,0.0
Tim Busconi,dartmouth,0.0
Joshua Schenk,dartmouth,0.0
Cam MacDonald,dartmouth,0.0
Hank Cleaves,dartmouth,0.0
Brock Devlin,dartmouth,0.0
Andrew Clarke,dartmouth,0.0
Cooper Cleaves,dartmouth,0.0
Oskari Vuorio,dartmouth,0.0
Ryan Schelling,dartmouth,0.0
Tyler Grahme,dartmouth,0.0
Mikey Roberts,dartmouth,0.0
Roan Clarke,dartmouth,0.0
Owen Desilets,dartmouth,0.0
Emmett Croteau,dartmouth,0.0
Brock Cummings,dartmouth,0.0
Jack Silverberg,dartmouth,0.0
Jason Stefanek,dartmouth,0.0
Alex Krause,dartmouth,0.0
Tory Pitner,denver,0.0
Cale Ashcroft,denver,0.0
Garrett Brown,denver,0.0
Alec Whipple,denver,0.0
Kristian Epperson,denver,0.0
Boston Buckberger,denver,0.0
Brady Milburn,denver,0.0
Samu Salminen,denver,0.0
Sam Harris,denver,0.0
Hagen Burrows,denver,0.0
Rieger Lorenz,denver,0.0
Eric Jamieson,denver,0.0
Kyle Chyzowski,denver,0.0
Peter LaJoy,denver,0.0
Payton Nelson,denver,0.0
Jake Fisher,denver,0.0
Kent Anderson,denver,0.0
Brendan McMorrow,denver,0.0
Eric Pohlkamp,denver,0.0
Kieran Cebrian,denver,0.0
Clarke Caswell,denver,0.0
James Reeder,denver,0.0
Reid Varkonyi,denver,0.0
Quentin Miller,denver,0.0
Paxton Geisel,denver,0.0
Johnny Hicks,denver,0.0
Mason West,ferris-state,0.0
Kade Turner,ferris-state,0.0
Logan Heroux,ferris-state,0.0
Christopher Lie,ferris-state,0.0
Valtteri Piironen,ferris-state,0.0
Xavier Jean-Louis,ferris-state,0.0
Connor McGrath,ferris-state,0.0
Tyler Schleppe,ferris-state,0.0
Nic Belpedio,ferris-state,0.0
Jack Mesic,ferris-state,0.0
Brian Morse,ferris-state,0.0
Caden Brown,ferris-state,0.0
Josh Zary,ferris-state,0.0
Jack Silich,ferris-state,0.0
Holden Doell,ferris-state,0.0
Luke Lisko,ferris-state,0.0
Max Dukovac,ferris-state,0.0
Max Itagaki,ferris-state,0.0
Tanner Rowe,ferris-state,0.0
John Lundy,ferris-state,0.0
Emerson Goode,ferris-state,0.0
Riley Wallack,ferris-state,0.0
Conner Brown,ferris-state,0.0
Jacob Badal,ferris-state,0.0
Gavin Best,ferris-state,0.0
Trevor Taulien,ferris-state,0.0
Hobie Hedquist,ferris-state,0.0
Noah Rupprecht,ferris-state,0.0
Carter Rapalje,ferris-state,0.0
Martin Lundberg,ferris-state,0.0
Evan Zhang,harvard,0.0
David Hejduk,harvard,0.0
Matthew Biotti,harvard,0.0
Sean Keohane,harvard,0.0
Richard Gallant,harvard,0.0
Philip Tresca,harvard,0.0
Michael Callow,harvard,0.0
Ryan Healey,harvard,0.0
Ryan Fine,harvard,0.0
Justin Solovey,harvard,0.0
Joe Miller,harvard,0.0
Marek Hejduk,harvard,0.0
Matthew Morden,harvard,0.0
William McDonough,harvard,0.0
Will Hughes,harvard,0.0
Donato Bracco,harvard,0.0
Ben MacDonald,harvard,0.0
Drake Murray,harvard,0.0
Cam Johnson,harvard,0.0
Mason Langenbrunner,harvard,0.0
Salvatore Guzzo,harvard,0.0
Chase Stefanek,harvard,0.0
Lucas St. Louis,harvard,0.0
Mick Thompson,harvard,0.0
Heikki Ruohonen,harvard,0.0
Casey Severo,harvard,0.0
Aku Koskenvuo,harvard,0.0
Ben Charette,harvard,0.0
James Mackey,harvard,0.0
Aidan Lane,harvard,0.0
Louden Hogg,holy-cross,0.0
Lachlan Getz,holy-cross,0.0
Brody Gagno,holy-cross,0.0
Anthony Biakabutuka,holy-cross,0.0
William Troutwine,holy-cross,0.0
Timothy Heinke,holy-cross,0.0
Anthony Carone,holy-cross,0.0
Ryan Buckley,holy-cross,0.0
David Hymovitch,holy-cross,0.0
Michael Abgrall,holy-cross,0.0
Matthew Kursonis,holy-cross,0.0
William Elias,holy-cross,0.0
Owain Johnston,holy-cross,0.0
Jarrod Smith,holy-cross,0.0
Matt DeBoer,holy-cross,0.0
Ty Gagno,holy-cross,0.0
Jack Stockfish,holy-cross,0.0
Devin Phillips,holy-cross,0.0
Owen Kim,holy-cross,0.0
Ben LeFranc,holy-cross,0.0
Dax Williams,holy-cross,0.0
William Reardon,holy-cross,0.0
Mack Oliphant,holy-cross,0.0
Jack Seymour,holy-cross,0.0
Connor Welsh,holy-cross,0.0
Danick Leroux,holy-cross,0.0
Connor MacKenzie,holy-cross,0.0
Joe Solimine,holy-cross,0.0
Quinn McCall,holy-cross,0.0
Noah Eyre,holy-cross,0.0
Rorke Applebee,lake-superior-state,0.0
Bryan Huggins,lake-superior-state,0.0
Max Ranstrom,lake-superior-state,0.0
Mike Brown,lake-superior-state,0.0
Luke Antonacci,lake-superior-state,0.0
Evan Bushy,lake-superior-state,0.0
Adam Barone,lake-superior-state,0.0
Calem Mangone,lake-superior-state,0.0
Branden Piku,lake-superior-state,0.0
Jack Blanchett,lake-superior-state,0.0
Connor Milburn,lake-superior-state,0.0
Sasha Teleguine,lake-superior-state,0.0
Reagan Milburn,lake-superior-state,0.0
Wilson Dahlheimer,lake-superior-state,0.0
Samuel Belanger,lake-superior-state,0.0
Johnny Druskinis,lake-superior-state,0.0
Blake Humphrey,lake-superior-state,0.0
Luke Levandowski,lake-superior-state,0.0
Everett Pietila,lake-superior-state,0.0
Tyson Galloway,lake-superior-state,0.0
William Ahlrik,lake-superior-state,0.0
Ryan Beck,lake-superior-state,0.0
Carter Batchelder,lake-superior-state,0.0
John Herrington,lake-superior-state,0.0
Hunter Ramos,lake-superior-state,0.0
Hadley Hudak,lake-superior-state,0.0
Andrew Oke,lake-superior-state,0.0
Adam Manji,lake-superior-state,0.0
Pierson Sobush,lake-superior-state,0.0
Matheson Mason,lake-superior-state,0.0
Jonathan Wong,lindenwood,0.0
Connor Gengle,lindenwood,0.0
William Winemaster,lindenwood,0.0
Giovanni Morneau,lindenwood,0.0
Brady Yakesh,lindenwood,0.0
Jacob Delaney,lindenwood,0.0
Drew Kuzma,lindenwood,0.0
Jacob Fletcher,lindenwood,0.0
Charles Savoie,lindenwood,0.0
Ethan Zielke,lindenwood,0.0
Adam Raesler,lindenwood,0.0
John Evans,lindenwood,0.0
Michael Bevilacqua,lindenwood,0.0
Anselmo Rego,lindenwood,0.0
Patrick Schmiedlin,lindenwood,0.0
Ethan Elias,lindenwood,0.0
Louis-Philippe Fontaine,lindenwood,0.0
Ty Hipkin,lindenwood,0.0
Jake Southgate,lindenwood,0.0
Olivier Houde,lindenwood,0.0
Jaeden Mercier,lindenwood,0.0
Nolan Seed,lindenwood,0.0
Tyler Loughman,lindenwood,0.0
Brady McIsaac,lindenwood,0.0
Brody Mortensen,lindenwood,0.0
Colin Ronan,lindenwood,0.0
Klayton Knapp,lindenwood,0.0
Liam Beerman,lindenwood,0.0
Michael Polston,long-island-university,0.0
Trent Powell,long-island-university,0.0
AJ Casperson,long-island-university,0.0
Blake Dangos,long-island-university,0.0
Trevor Griebel,long-island-university,0.0
Blake Matheson,long-island-university,0.0
Jack Darby,long-island-university,0.0
Daniel Baldassarra,long-island-university,0.0
Heath Armstrong,long-island-university,0.0
John McMahon,long-island-university,0.0
Brennan Nelson,long-island-university,0.0
Luca Leighton,long-island-university,0.0
Sixten Jennersjö,long-island-university,0.0
Anthony Lucarelli,long-island-university,0.0
Chad Muller,long-island-university,0.0
Nate Benoit,long-island-university,0.0
Luke Hause,long-island-university,0.0
Isaac Lambert,long-island-university,0.0
Dylan Kinch,long-island-university,0.0
Garrett Valk,long-island-university,0.0
Jaden Dyke,long-island-university,0.0
Daniel Duris,long-island-university,0.0
Carter Bickle,long-island-university,0.0
Lukas Renaud,long-island-university,0.0
JR Perdion,long-island-university,0.0
Nick Bernardo,long-island-university,0.0
Onni Leppänen,long-island-university,0.0
Brett Rylance,long-island-university,0.0
Casey McDonald,long-island-university,0.0
Noah Serdachny,long-island-university,0.0
Lukas Peterson,maine,0.0
Brandon Holt,maine,0.0
Jeremy Langlois,maine,0.0
Luke Coughlin,maine,0.0
Charlie Russell,maine,0.0
Owen Fowler,maine,0.0
Sully Scholle,maine,0.0
Brandon Chabrier,maine,0.0
Loic Usereau,maine,0.0
Simon Motew,maine,0.0
Josh Nadeau,maine,0.0
Nicholas Peluso,maine,0.0
William Gerrior,maine,0.0
Grayson Arnott,maine,0.0
Brock James,maine,0.0
Thomas Freel,maine,0.0
Max Scott,maine,0.0
Anthony Calafiore,maine,0.0
Thomas Pichette,maine,0.0
Albin Boija,maine,0.0
Mathis Rousseau,maine,0.0
Bodie Nobes,maine,0.0
Gage Stewart,maine,0.0
Oskar Komarov,maine,0.0
Jaden Lipinski,maine,0.0
Miguel Marques,maine,0.0
Frank Djurasevic,maine,0.0
Justin Poirier,maine,0.0
Jackson Irving,massachusetts,0.0
Coleson Hanrahan,massachusetts,0.0
Kennedy O'Connor,massachusetts,0.0
Lucas Olvestad,massachusetts,0.0
Owen Mehlenbacher,massachusetts,0.0
Cam O'Neill,massachusetts,0.0
Jack Musa,massachusetts,0.0
Jack Galanek,massachusetts,0.0
Vaclav Nestrasil,massachusetts,0.0
Lukas Klecka,massachusetts,0.0
Landon Nycz,massachusetts,0.0
Andrew Lacroix,massachusetts,0.0
Justin Kerr,massachusetts,0.0
Daniel Jenčko,massachusetts,0.0
Larry Keenan,massachusetts,0.0
Mikey DeAngelo,massachusetts,0.0
James Duerr,massachusetts,0.0
Charlie Lieberman,massachusetts,0.0
Nick VanTassell,massachusetts,0.0
Francesco Dell'Elce,massachusetts,0.0
Elias Zimmerman,massachusetts,0.0
Cam Dunn,massachusetts,0.0
Owen Murray,massachusetts,0.0
Bo Cosman,massachusetts,0.0
Matthew Wilde,massachusetts,0.0
Michael Hrabal,massachusetts,0.0
James Norton,massachusetts,0.0
Michael Chambre,mercyhurst,0.0
Peter Klemm,mercyhurst,0.0
John Larkin,mercyhurst,0.0
Jaryd Sych,mercyhurst,0.0
Caleb Price,mercyhurst,0.0
Trent Sambrook,mercyhurst,0.0
Tyler DesRochers,mercyhurst,0.0
Brendan Lamb,mercyhurst,0.0
Sean James,mercyhurst,0.0
Francesco Iasenza,mercyhurst,0.0
